text,stars,sentiment,film_id
Tak to byla opravdu absolutní blbost. Navíc závěrečná honička se sanitkou byla naprosto zbytečná. A mimochodem...kam se během filmu vytratí co-pilot??,1,negative,89504
"Jeden z absolutních vrcholů akčního filmu v historii. Všechny díly jsou super, ale jednička je nejvíc excelentní a zdá se mi, že zraje jako víno, čím je starší tím je lepší... Filmu se nedá vytknout naprosto nic, od námětu, herců, kamery, střihu, vtipu, hlášek, brutality, hlavního hrdiny, který dostává brutální kapky a nakonec stejně se všemy vyjebe ... Prostě převrat v dějinách akčních filmů. Tímto filmem si Willis jednoznačně zajistil bezstarostnou kariéru a důchod.",5,positive,6642
"Slabé béčkové pokračovanie znovu uvádza na scénu maniakálneho fízla Matta Cordella aby dokončil to, čo v prvom diely nestihol - očistiť svoje meno a pomstiť sa skorumpovaným policajtom. Hororová atmosféra jedničky opadla a nastupuje akcia a divoké prestrelky. Záver sa zmení na dobrú komédiu, kde sa z Cordella stáva živúca pochodeň a zapaľuje každého koho vidí. Bruce Campbell sa tu objaví len sotva na 20 minút, zato ho smelo nahradzuje charismatický tvrďák v podaní Roberta Daviho. Moc veľká zábava už to ale nie je, chýba totiž atmosféra prvého dielu ktorý ťažil atmosféru z temných ulíc New Yorku.",2,negative,6239
"Nejslabší pokračování, které mi přišlo moc ukecané, málo akční a celé to poměrně dobře uspávalo. Z´dar už není tak moc démonickej a ten okultismus či co to bylo mi evokoval poměrně špatného Halloweena P. M. M.. Sice se tu objeví staří známý z předchozích dílů, ale to je tak vše. PS: Ted Raimi potěšil:-)",2,negative,6240
"K těm zaručeným kinohitům, které obec fanoušků považuje za vážné kandidáty pro nejlepší snímek roku, mívám rezervovaný postoj. Obvykle dávám přednost filmům mimo hlavní proud a často mě dokáže nadchnout vyložený filmový outsider. Nicméně v případě Gran Torina musím konstatovat, že jde o velmi slušné melodrama, kde Clint Eastwood zúročil své dlouholeté zkušenosti na poli režie i herectví. Ne že by starý dobrý Clint byl tak skvělý režisér, je to spíš velmi kvalitní a spolehlivý řemeslník, který dobře zná své limity a svůj film kormidluje do vod, kde se cítí jako doma. Jeho postava je vlastně přímým pokračováním jeho nejpopulárnějších hrdinů, tzn. lovce hlav ze starých westernů Serga Leoneho a především drsného inspektora Harryho Callahana. Přidejte Callahanovi 40 let a máte tu nerudného důchodce a ctitele pravých amerických hodnot Walta Kowalskiho. Děj je sice po převážnou většinu stopáže předvídatelný a jeho poselství je každému jen trošku zkušenému divákovi jasné po několika minutách, ale Eastwood dokáže svůj film obohatit řadou milých, divácky vděčných scén, jako je zasvěcování asijského výrostka do mluvy správných chlapů nebo úsměvné multietnické střety mezi nevrlým Američanem a jeho asijskými sousedy. Tam, kde režisér  udržuje tragikomickou polohu, je jeho příběh a podání uvěřitelné a navýsost sympatické, tam, kde se vkrádají prvky osudového dramatu a sebeobětování, sklouzává film na pokraj sebeparodie. Např. v momentu, kdy bezmála 80-letý stařík s prokouřenými plícemi napadenými rakovinou srazí k zemi a dá nakládačku o tři generace mladšímu členu zločineckého gangu. Jinak obecně platí, že filmy Clinta Eastwooda a jeho hrdinové jsou tak dokonalou esencí těch nejryzejších amerických hodnot, že by se jeho filmy měly povinně promítat na sjezdech republikánské strany. Patří k nim střelné zbraně, tvrdý kovbojský postoj, vyhraněný patriotismus a sociální konzervatismus. Pokud je ale dokáže režisér zlehčovat a doplňovat např. parodií politické korektnosti, kdy se se starým přítelem z holičství dělají drsné narážky na své národnosti je to nejen stravitelné, ale i fajn. Celkový dojem: 80 %.",4,positive,240479
"Sugestivní a tísnivá atmosféra nepřátelského města jako kontrast proti duši vnitřně krásného člověka. Lynch občas v lidské zrůdnosti jde až za hranici divácké nepříjemnosti a očividně bezbranného jedince nechává trpět až příliš často, ale přesto mě nakonec dostává. Hlavně protože finální Adagio for strings patří mezi nejtesknější scény, co jsem kdy viděl.",4,positive,6251
"""On se nenarodil. Splácali ho na velitelství z pozůstatků mrtvejch vojclů."" Možná je to trošku přehnaný, nicméně kapitán Miller se tak chová a jeho odhodlání splnit rozkaz jistě naválo do řad US Army další zájemce o adrenalin a ustřelenou končetinu. Já tedy války nemám rád a dle mého názoru by je měl rozhodovat souboj týmů složených z politiků, generálů a majitelů zbrojovek. Lid by se alespoň pobavil a žádná škoda by nemohla vzniknout. Přesto mne tento vstup USA do války zaujal, donutil mě uhýbat před střelbou, plazit se v blátě, občas mrsknout směrem k obrazovce nějaký ten granát a fandit, aby poslední z rodu Ryanů byl nalezen v reprodukčně schopným stavu.",4,positive,8652
"David Lynch dokáže i z toho nejobyčejnějšího příběhu udělat krásný film. V téhle hodně zvláštní road movie jde ""pouze"" o lidský příběh, který je ale neuvěřitelné poutavý a zahřeje vás u srdce.",4,positive,6258
"Až na třetí shlédnutí jsem tomuto filmu přišel na chuť. Příběh muže, který utíká z vězení, do něhož ho dostala láska k barové tanečnici, je propojen s osudy lidí činžáku, v němž najde podnájem vězňova milující matka, trpělivě vyčkávající, než si její syn odpyká zasloužený trest, ale která je pro ostatní nájemníky záhadou. Všichni touží vědět, co ukrývá v kabele, již nosí stále s sebou, věří se,, že v něm ukrývá své úspory či šperky, a tak se mnozí legálně i nelegálně snaží s ženou o její ""bohatství"" podělit nebo oloupit. Tragická chvíle nastává ve stejné chvíli, kdy se syn vracá domů, kde už na něho ovšem čekají kriminalisté... Výborný výkon Olylie Beníškové i Knížete Emama Fialy.",4,positive,5358
"Dlouho jsem se stranil komentovat tuto trilogii, protože nenacházím slov, které by ji přesně vystihovaly. Je to pravděpodobně to nejúžasnější, co jsem doposud viděl. Filmy jako Predátor nebo Terminátor jsou sice obrovskými kulty, ale tato trilogie si mě získala po všech stránkách. Naprosto famózní podívaná. Všechny díly jsou pro mě stejně dobré. Bombastický příběh se skvělými herci, triky, napětím, přírodou, atmosférou a akcí. A co teprve ta hudba, nejlepší z nejlepších!100%",5,positive,4712
"Hned při úvodní scéně jsem měl chuť to vypnout, ale chtěl jsem se dozvědět pravé pohlaví blonďatého hermafrodita s copánkem a náušnicí. Přiznávám, že mě většina hlavních postav donutila se smát tomu, jak jsou trapní a jak celý příběh, kde se desítky ozbrojených „ninjů“ místo nějaké banky rozhodnou přepadnout raději zábavní park. V průběhu celé supr čupr akční komedie jsem pociťoval ztrátu mých mozkových buněk, jelikož mi nedávalo smysl, jak můžou malé děcka přeprat ozbrojené dospělé lidi. A pak jsem si vzpomněl…no jóóó, vždyť oni měli na začátku ninja výcvik!! Hodlám věřit tomu, že pro malé děti to může být dobrá zábava, ale pro mě to byl absolutní bullshit, který by nabyl na významu, kdyby to byla parodie. Bohužel to tvůrci mysleli vážně. R.I.P.",1,negative,74686
"Fleischer tu přitlačil na komedii a byť jsem si chvíli zvykal, nakonec se mi dvojka líbila i o chlup (o hvězdu ale ne) víc než první film. Přispěly k tomu i další postavy, zejména naprosto přesná blondýna Maddison.  No, dobře je to trochu laciný, ale naštěstí tu rozhodně nejde o žádný ""pomosun promyšleného děje kupředu"", ale  právě o tu bohapustou zábavu slepenou jednoduchým příběhem. Tedy další pohodovej cestovatelskej film a naštěstí nezkaženej žádnýma pokusama cokoliv či kohokoliv čímkoliv obohatit, to nedejbože!  A já se jdu léčit z té pomotidy a vezmu si raději rovnou čtyři tablety, jednu za  každé písmeno (ha, lepší konec komentáře než u jedničky!)",4,positive,277532
"Jako malá jsem tuhle pohádku nesnášela - zkusila jsem ji teď po letech  a je to dobré :-))) Nestárnu :-)))
Nelíbí se mi pořád :-))",1,negative,5368
"90%- I když hrál Hopkins jen chvíli, byl naprosto prvotřídní. Pozvedl tento skvělý thriller ještě o něco výš svým oscarovým výkonem...",5,positive,2356
"Lynch si zde mistrně pohrává s kontrasty, a to s černou a bílou, jak je jeho oblíbeným zvykem. Už jen úvodní záběr na Peggy, jejíž bílá tvář notně kontrastuje s obklopující černočernou tmou, předesílá preferovanou texturu. Zajímavé jsou kontrasty na úrovni zvuku a samozřejmě zvuk samotný. Kontrast je vedený například využitím proměny dětského popěvování za mužský hlas zpívající operu. Zvukových doprovodů je napříč Abecedou opravdu hodně. Ať už je to zvuk větru, nervydrásající a nechutné kvílení (připomínající dítko z Mazací hlavy), různé ruchy v pozadí anebo dívenka zpívající abecedu (což je mimochodem velmi úderná a mrazivá hororová scéna). VÍCEZDE(FILMOGRAFIE DAVIDA LYNCHE - RANÉ KRÁTKOMETRÁŽNÍ SNÍMKY)",5,positive,6245
"Obávám se, že hry Kašparu nebudou blízké mému srdci. Před časem jsem zkusila jejichAudienci(v klubovně v Jidřišské), ta byla vcelku příjemná, ale jejich vidění Vančury nekonvenuji. Hra má velmi nápaditou scénu, vnímání publika je hodně vstřícné, ale jako celek mi to nefungovalo. Herecky vysloveně slabé, text málo pointovaný, hudební vložce zcela neživotné. O bonusovou verzi zájem nemám.",2,negative,277541
"Spojení těchto dvou barbie hereček je pro mě vážně vražednou kombinací, ze které nevzešlo krom pár maličkostí snad nic dobrého...",1,negative,223872
"Boj hodného majitele zábavního parku proti zlým úředníkům.  A jestliže se hlavní hrdina snaží zlegalizovat svůj zábavní podnik, který už stojí ... tak to znamená, že ho postavil načerno. Logika ve filmu nemá hlavní roli, ani kvalitní provedení - prostě ten ochotnický přiznaně amatérský stylToulovéje jasný. Celý film je kombinací proma a samoobhajoby skutečného provozovatele toho parku a jedinou věc, kterou beru vážně je slušné obsazení a skvělýNovotný, bez něj by smysl existence toho filmu nebyla. Přesto dám dvě hvězdy, protože sám jsem měl taky problém s úředníkama a je fakt, že když lžou, tak se spravedlnosti člověk moc nedočká. Nebo aspoň ne rychle, natož aby ten úředník nebyl beztrestný.",2,negative,1518669
"85% - Poslední věta filmu by se dala ironicky dát do souvislosti s více, než tříhodinovou délkou tohoto díla. Konec legrace… Zelená míle je velice působivá podívaná s ohromujícími hereckými výkony, pěknou atmosferickou hudbou Thomase Newmana, a režisér Darabont prostě umí dělat emotivně silné filmy. Na pět hvězdiček tento krásný film nedosáhl z jediného důvodu: Konec nezvládl vysoko nasazenou laťku. Měl překvapivě bagatelizující a jednoduchou pointu. Uznávám, že se může jednat o vadu Kingovy předlohy, kterou jsem nečetl, ale scénář je holt součást filmu. Po celý film mi totiž vrtaly hlavou zajímavé otázky spojené s dějem a hlavními postavami, a místo toho, aby mi jeho konec dal prostor nad nimi přemýšlet, pokusil se mi na ně odpovědět kýčem.",4,positive,2292
"Skoda, miniatury ci prvky z budoucnosti jsou na urovni sve doby, ale dej ci spise nedej a nehrani hlavnich hrdinu to zenou uspesne do zadele. 15%",1,negative,26960
"Ve svém profilu mám uvedeno, že nemám rád akční filmy, ale vlastně to není tak úplně pravda, našla by se celá řada výjimek, které potvrzují pravidlo. Především ty, které se neberou vážně, jako například série Smrtonosné pasti. Rambo je ovšem jiný případ, je to doslova ztělesnění prvků a žánrových klišé, které se mi na akčních filmech nelíbí. Je to jeden z prvních filmů ve svém subžánru a ve své podstatě tuto kategorii filmů definoval a je považovaný za její symbol. Nemám potřebu polemizovat s kultem, v zásadě souhlasím s tím, že je to nejhodnotnější kousek filmové série o nezničitelném bojovníkovi z džungle a zároveň jediný film série, který se dá brát aspoň trošku vážně, resp. má z hlediska filmového umění jakous takous hodnotu. Scénář i režie se ještě snaží o určitou psychologii postav a ve vedlejších rolích se vyskytuje několik slušně hrajících herců, mimochodem Richard Crenna to určitě není, ale Brian Dennehy si plné uznání zaslouží. Z hlediska technických kvalit dnešních akčních filmů je ovšem vysoké hodnocení původního Ramba i tak evidentně hodně ovlivněné nostalgií a věkovým průměrem uživatelů. Celkový dojem: 40 %.",2,negative,16097
"Anotace nelže. Skutečně jde o klasickou českou komedii, ovšem nutno dodat, že pouze v kategorii privatizačních filmů 90.let a i tak jde o slušný bizár. Divák, který film dokouká si nemá na co stěžovat, už první záběry na flašinetáře a Nepraktovy kresby naznačí dostatečně, o co půjde. Milovník dekadence si skutečně užije, k vidění je poměrně nabité obsazení v jedné trapné scénce za druhou, lehce nad vodou se drží policisté Vladyka,Poloczek, ale jinak nikdo moc nepomáhá, obzvlášt podivně vyznívají výkony strýčka Jedličky nebo Jaroslavy Hanušové. Osobně mám na 90.léta hodně hezký vzpomínky, takže se dívám na všechny ty tehdejší pokusy s jistou shovívavostí, ale i tak se nemůžu ubránít jistého pocitu lítosti, že třeba Jára Kohout nebo Jiří Sovák byli hozeni do stejného filmového pytle jako kriminálník Jonák (jeho angažování ve filmech ukazuje, že doba byla neuvěřitelně svobodná a zábavná, ale i nevkusná a zoufalá zároven).A chudák skladatel Šust, vedle Panelstory mít v seznamu tohle.. O tom, že kriterium pro výběr hlavni postavy byla ochota svléknout se a ukázat (pěkná) prsa nepochybuji ani vteřinu. Tím směrem se taky měl producent filmu vydat - vynechat děj a celou tu nepovedenou satiru a natočit s Hrubešovou čistou pornografii s prostřihy na pivovar. Film by místo Plyšového lva sklidil komerční úspěch a dnes by to byla ozdoba Pornohub. Škoda.",1,negative,108847
"Tolik slavných jmen a výsledkem je taková zpotvořenina...1)  V povídce Tramvaj do Poděbrad sledujeme zajímavé dobové reálie. Jinak je ovšem poněkud přiblblá.Flaša je vydojená.Hrají mj. 34letá Gábina Oswaldová (rozeřvaná cestující) a 22letý Martin Dejdar (bankovní lupič). Scénář: 44letý F. R. Čech, režie: 34letý Václav Křístek.

2)  Lehká společenská kritika v povídce Express do Bratislavy je roztomilá, ale neústrojná, bez vztahu k ději. 33letý Ján Zachar v úzkých džínách (pan Karel Jindříšek, šéf týmu). Vyloženě hloupý scénář 40letého Petra Novotného. Režie: 34letý Jan Prokop.

3)  Zcela nezajímavá pseudomoralita Linka do Prahy řeší pseudoproblémy. Jako když se někdo s IQ 90 rozhodne natočit výsostně intelektuální film. Hrají 25letý Ondřej Vetchý, 34letá Dáša Veškrnová. Scénář: 36letý Jiří Just, režie: 33letý Petr Šícha.",2,negative,5346
"Tak konečně mám za sebou celou trilogii. První díl je jednoznačně nejpřímočařejší a nejkomornější a obstojí jak samostatně, tak i jako úvod celé ságy. Úžasný nápad, geniálně formálně provedené a s filosofickou hloubkou (Rád bych si někde přečetl filosofickou reflexi Matrixovského universa, mohlo by to být zajímavé počtení. V těch filmech se řeší snad všechno, od noetických otázek o možnostech a způsobech lidského poznání, přes vytvoření vlastního ontologického systému, po problémy kauzality a otázku volby). Každopádně první Matrix je zlomový a hrozně důležitý film, kterému přiznávám velký význam. A kdybych měl fetiš na ty ""pěkné"" oblečky, co postavy ve filmu nosí, byl by možná i mojí srdcovkou.",5,positive,9499
"Když jsem to viděl poprvý (a naposled), ještě jsem věděl kulový kdo je MB (akorát že to neni model Škoda 1000). Ale už tenkrát jsem si hlavu div neukroutil. Hodný terorista s ušlechtilými cíli a pochybnými metodami, zlý terorista s méně ušlechtilými cíli a ještě pochybnějšími metodami, mukl, co je sice zločinec, ale působí kladně, velitel zásahového komanda co si napochoduje amatérsky na porážku jak v den lumíků (ale ještě si s hodným teroristou přátelsky poklábosí - frčky jsou halt divný), no a ubohý Mikulka Klecovic, který nakonec s kladným muklem musí zachraňovat civilizaci a ještě si přitom užít pár efektních střihů, východů a západů slunce a těžce mimózní akce z Mladé Boleslavi - už to zase pletu, chci říct od Majkla Báje. Ten si svoje neodpustí, takže se to celý tváří smrtelně vážně a kecy o cti od teroristy numero uno by mě snad měly rozplakat. Tenkrát jsem si ťukal na čelo, zpětně jsem však již mnohé pochopil.",1,negative,546
Najslabší film ako Superžraloka tak aj Crocosaura. Tieto dve monštrá mali za sebou teda lepšie kúsky (aj keď nie oveľa) tak isto aj protivníkov. V mojich očiach to nebolo na odpad! ale veľa k tomu nechýbalo. Zachránil to iba superžralok ktorý skákal z vody a vždy keď sa obtrel o loď to miesto vybuchlo. Keď sa o to miesto obtrel znova opäť to vybuchlo na tom istom mieste.,1,negative,283404
"Tohle je ten oslavovaný Werichův opus? Mně to přijde jak nesmělá satira na totalitní režim, a taky to je. Golem je rudý režim a vrchnost i chudáci jsou jemu podřízeni. Monarchie není žádána. A když se rozezní Werichova budovatelská óda na to, co všichni společně dokážou, nazpívaná zřejmě z donucení, aby to celé nezakázali, nebylo co řešit. Hrozný film. Barvy, ozvučení a všechno kolem v poločasu rozpadu. Neděkuji, jsem pustil telku a náhodou to dávali. Krize. Nikdy jsem to nedodíval, až nyní, a o ničem. Snad jen herecké výkony to spasily. 20%",1,negative,3094
"Je podivně fascinující sledovat manželský pár, který se hádá. Nechcete se do toho zapojovat a už vůbec ne určovat, kdo je v právu, ale je to fascinující pozorovat a říkat si sami pro sebe, kdo si to v ten a ten moment ""zaslouží"". I když víte, že byste neměli. Jeden z filmů, který si za pár let musím pustit znovu. 80 %.",4,positive,7340
"Chudák Tom Berenger, po zcela primitivních Sniperech a jejich pokračování se upsal i takové blbosti jako byl film Turbulence 2. Zcela suché hlášky a naprosto zprzněné počítačové (nepočítačové) triky,  špatné herecké výkony a prostoduchý a nedodělaný příběh dělají z tohoto pokračování jen těžko koukatelný film.",1,negative,10780
"Ospravedlňujem sa, ale v tomto prípade som vedel do čoho idem, a presne to som dostal. Absurdnú komédiu a zároveň neuveriteľne chabú kinematografiu. Tak svojbytný filmový vizuálny karcinóm som dlho nevidel. Efekty, ktoré sa vďaka svojej magicky estetickej dysfunkčnosti sugestívne pohrávajú na jednej strane s divákovou trpezlivosťou a na strane druhej s jeho fascináciou. Občas sa pozeráte na obraz, počujete streľbu a hľa tam prázdno. Niekedy je na oblohe vidieť nepriateľov, no zrazu v rámci ďalšieho strihu pri podobnom pohľade ich prítomnosť absentuje. Občas je mesto od ""staveniska"", kde sa väčšina filmu odohráva blízko, občas zas ďaleko. A teraz ukážka dokonalého scenáru. ""K nám sa nikto nedostane, pokiaľ to tak my nechceme!"" Povie neľútostná kapitánka po tom, čo ani nezavrie hlavnú bránu do ich sektoru. Tu už som vyronil slzy smiechu. A za tú komediálnu linku musím hodiť dve hviezdy, aj keď si objektívne uvedomujem, že je to sračka najvyššieho kalibru, ale ak hodnotím subjektívne, tak mi to inak nedá.",2,negative,291650
"Už dlouho jsem se takhle nepobavil. Celá rodina jsme řvali smíchy, div nám netekly slzy. Je to příšerný film a objektivní hodnocení musí být odpad, ale index zábavy je na 5 hvězdiček. Je to tak krásně špatný a debilní, prostě ""so bad it´s good"".Edit:Já tomu zkrátka odpad dát nemůžu, alespoň jednu hvězdičku to ode mě dostane. Kam se na tohle hrabe The Room a Birdemic.",1,negative,240892
"Ach, první komentář, který mám čas psát dokonce v průběhu samotného ""fipmu"". No ty vole... Tohle je vážně něco. Auta nemohou jet, zato stromy kolem se ani nehnou. Rodinka jede autem a benzin nikdy nedochází. To je všechno snesitelné. Ale ty dialogy? Vážně? Místy je to až trapné, malej typek je na pecku, tak dementní děcko ani nikdo mít nemůže... Asi začnu teda točit taky filmy. Jediné, za co dávám *, je hudba a fakt, že se docela dobře bavím tím, že někdo takovou sra*ku fakt vymyslí.:D",1,negative,331378
Nezáživná céčková nuda. Akce skoro žádná. Zápletka není vůbec špatná. Kdyby se jí někdo ujal a natočil o tom kvalitní film tak by to šlo. V Lundgrenových filmografiích se najde spousty béčkových filmů které ale narozdíl od tohoto pobaví.,1,negative,162926
"Hodnotím logicky níže než původní pořad, protože jde pouze o sestřih toho údajně nejlepšího. Navíc kvůli neschopnosti tvůrců dohodnout se ohledně práv není skoro možné film vidět a do Pardubic kvůli tomu fakt nepojedu.",2,negative,4562
"Zatímco první díl ještě chvílemi relativně úspěšně pobavil v satiře a nadhledu a ztrácel body hlavně tím, že ""chytrost"" hlavního hrdiny byla často spíše vyčůraností, druhý už se v humoru zmůže jen na ty nejnižší útoky. Kdo má být vtipný, ten huláká na celé kolo, vypije litry alkoholu, sežere na co přijde - nebo tyto činnosti rozličně kombinuje. Jazyk Jaroslava Haška je příjemný, ale v téhle humpolácké formě nemám daleko k tomu ho zatracovat.",1,negative,8680
"Jedni slintají, další jsou téměř na vrcholu blaženosti a euforie, třetí litují tří hodin života a ohánějí se ostrými výrazy. Najdou se samozřejmě i tací mezi tím vším, kteří zas tolik na větvi nejsou. Mezi takové se řadím. Jsou filmy, jejichž kvality se těžko zpochybňují. Mezi ně Kmotr zajisté patří. Ale jsou filmy, které mezi zásadní mezníky světové kinematografie nepovažuji. Mafiánský opus s vybroušenými hereckými výkony a několika vydařenými scénami. Nelapal jsem po dechu, neměl jsem pocit nedotknutelnosti a nedosažitelnosti. Přepečlivý Francis Ford Coppola sice je, nějaký strhující příběh však nenabízí. Takový Stanley Kubrick by si s ním poradil krapet líp, troufám si tvrdit!! PS: Běda tomu, kdo nelípne pět hvězd!!",4,positive,1644
"Až moc se tady vše soustřeďuje na Dustina Hoffmana a ten ujde, ale Tom Cruise je mu zde překvapivě důstojným partnerem, a vůbec se vedle Hoffmana neztratí. Film je podle mě hodně přechválený a v konečném výsledku na mě působil prázdně, střihačovy nůžky v některých scénách až moc zahálely a nuda se dostavovala víc, než bylo zdrávo. Opět přechválený film. 40%",2,negative,5954
"Film zaujal už po objevení Columbia Pictures. Důležité, že si nic extra nehraje a chce pobavit. Nutno říct, že mu to daří. Deset let je hodně, ale i tak jsou Columbus, Tallahassee, Wichita a Little Rock v dobré kondici. Navíc k nim přibudou nové postavy Albuquerque, Flagstaff, Nevada (Reno), ale hlavně Madison (člověk si říká, jak mohla přežít tak dlouho se svoji ""chytrostí a musí začít věřit  teorii od Tallahassee). Pak je tu pacifista Berkley a komunita Babylon (možno číst Bejbylun). Pěkná ČSFD projekce u které jsem se dost zasmál. A film má po titulkové scénky.",5,positive,277532
"95%- Říkal jsem si, co na filmu, postaveném pouze na rozhovoru členů poroty, může být tak skvělé, že je tento snímek tak vysoko ve všech možných žebříčcích? Nyní už to vím, těm dvanácti chlapům jsem totiž doslova visel na rtech, hltal každé slovo z toho brilantně sepsaného scénáře a prožíval každý parádní zvrat v jejich rozhodnutích, zapříčiněný nalézáním všemožných detailních nedostatků ve výpovědích svědků...",5,positive,6178
"Také jsem dělal kaskadéra, protože nikdo nepřišel na můj metalový koncert na Měsíci, který časově kolidoval s mým toreadorským vystoupením v Tokiu a mou wrestlingovou charitou pro roztomilé UFO. Fakt nekecám! A to ani nejsem rezavá odtahovka.",4,positive,277505
"Takto má vyzerať perfektný postmodernistický film, neonoirový film a silný autorský film v jednom. Nemusíte plne pochopiť úplne všetko, stačí sa nechať vtiahnuť a unášať ponurou, mystickou atmosférou. Vrcholné Lynchovo dielo, cítim v ňom najviac citu z pomedzi jeho filmov a najmenšiu režisérovu túžbu po ""samožerstve"". A nemusíte hodiny pátrať po tom, čo nám chcel Lynch zdeliť, metafory Modrého zamatu (temnota, zhasínajúce sviečky, Laura Dern vychádzajúca z tmy, vtáčik s hmyzom) sú ľahšie čitateľné.",5,positive,6247
"""Když třeba máte červený uši, tak Vám jako stojí?"" Symbióza ochrnutého milionáře s černým parťákem z mokré čtvrti na půdorysu skutečné události ve mně budila velké obavy. Naštěstí mi byl naservírován milý a lehce úsměvný snímek, který mi sice rozhodně bránici smíchem nenatrhl, ale pár vtípků na účet kvadroplegika si rozhodně budu pamatovat. Zkrátka bylo to dost dobrý, ale když to srovnám s tím výletem na Kokořín ...",4,positive,306731
dvojice friedberg a seltzer by si zasloužila pomalou a bolestivou smrt.stejně tak carmen electra.dej te jí někdo bůra ať už táhne do prdele.,1,negative,243043
"Sice jednoduchý příběh (není se co divit vzhledem k délce), ale to zpracování je nezapomenutelné, vyjímečné, děsivé, šokující. Okamžitě poznáte, že jde o lynchovinu.",5,positive,6253
"David Lynch coby doktor navštěvuje ženu, aby ošetřil její ""zranění"". Snímek - pojednávající o nepříjemných a nechutných věcech - silně, ba přímo ""fyzicky"" působí na diváka.",4,positive,6246
"Opravdu nechápu, čím má tenhle film pobavit a komu je určen. Má naprosto vyjímečně primitivní scénář, nevýrazné herecké výkony a je na něm až moc vidět, že měl nízký rozpočet. Luděk Sobota by neměl přemýšlet ani tak o tom, proč mu jej recenzenti strhali, jako spíše o kvalitě svých scénářů. Tohle je totiž ještě o něco horší než ""Ještě větší blbec, než jsme doufali"". U toho jsem se alespoň párkrát lehce zasmál. U ""Nebát se a nákrást "" jsem jen trpěl.",1,negative,2660
